cohort_month,cohort_size,month_1_retention,month_3_retention,month_6_retention,month_12_retention,average_customer_retention,latest_customer_retention,observed_months,initial_net_revenue,total_net_revenue,average_revenue_retention,latest_revenue_retention,cohort_month_label
2022-01-01,54,0.8888888888888888,0.7222222222222222,0.48148148148148145,0.37037037037037035,0.40895061728395066,0.0,36,33172.88,984785.5,0.8246239933879054,0.0,2022-01
2022-02-01,131,0.8625954198473282,0.6335877862595419,0.45038167938931295,0.45038167938931295,0.41984732824427484,0.0,35,119806.18,2824538.83,0.673597217009769,0.0,2022-02
2022-03-01,197,0.9238578680203046,0.6649746192893401,0.5329949238578681,0.4416243654822335,0.4225141833383099,0.0,34,112731.14,2782952.8,0.7260775766232513,0.0,2022-03
2022-04-01,211,0.9478672985781991,0.6729857819905213,0.4549763033175355,0.5071090047393365,0.4377423524342956,0.0,33,247734.51,5426143.45,0.6637290436198792,0.0,2022-04
2022-05-01,284,0.9436619718309859,0.6795774647887324,0.5633802816901409,0.5,0.464018485915493,0.0,32,319323.59,7475619.61,0.7315873932536585,0.0,2022-05
2022-06-01,316,0.930379746835443,0.75,0.5632911392405063,0.509493670886076,0.47682727643936296,0.0,31,324204.12,6551218.28,0.6518412595604394,0.0,2022-06
2022-07-01,341,0.9149560117302052,0.7302052785923754,0.6011730205278593,0.530791788856305,0.48162267839687195,0.0,30,341025.24,8135476.400000001,0.7951978764582548,0.0,2022-07
2022-08-01,388,0.9226804123711341,0.7036082474226805,0.6030927835051546,0.5541237113402062,0.506576608602915,0.0,29,373994.36,8039074.9799999995,0.7412130013644204,0.0,2022-08
2022-09-01,382,0.918848167539267,0.6884816753926701,0.4973821989528796,0.5418848167539267,0.5069184741959611,0.0,28,460777.13,9055215.01,0.7018589140294974,0.0,2022-09
2022-10-01,416,0.9230769230769231,0.7115384615384616,0.6274038461538461,0.5168269230769231,0.5400641025641026,0.002403846153846154,27,508151.14,9573233.37,0.6977534260552655,0.000575104485645747,2022-10
2022-11-01,404,0.9282178217821783,0.7202970297029703,0.6534653465346535,0.6113861386138614,0.5538842345773038,0.0,26,599647.25,10866447.96,0.6969769412831397,0.0,2022-11
2022-12-01,481,0.9293139293139293,0.6008316008316008,0.6008316008316008,0.6029106029106029,0.5683991683991684,0.004158004158004158,25,720363.39,12243697.09,0.67986226173987,0.0005643124090467729,2022-12
2023-01-01,518,0.915057915057915,0.7413127413127413,0.6621621621621622,0.5714285714285714,0.5851833976833977,0.011583011583011582,24,535277.97,13210421.850000001,1.0283147721360548,0.007028890055011978,2023-01
2023-02-01,451,0.9113082039911308,0.6917960088691796,0.7184035476718403,0.6518847006651884,0.6166971946399306,0.022172949002217297,23,390912.21,9364974.370000001,1.0415965229012727,0.030253749300898018,2023-02
2023-03-01,553,0.9367088607594937,0.7215189873417721,0.7142857142857143,0.6546112115732369,0.6398980766069373,0.03074141048824593,22,644352.97,13930681.260000002,0.9827110512821172,0.05770073504899031,2023-03
2023-04-01,537,0.925512104283054,0.7374301675977654,0.7225325884543762,0.6461824953445066,0.6498182140640241,0.06517690875232775,21,559816.59,10955983.18,0.9319364486177603,0.13089263753330355,2023-04
2023-05-01,567,0.9417989417989417,0.7689594356261023,0.7707231040564374,0.6684303350970018,0.6860670194003526,0.10229276895943562,20,757319.88,15275014.94,1.0084916125534695,0.2082440381731429,2023-05
2023-06-01,623,0.9020866773675762,0.8619582664526485,0.7640449438202247,0.6902086677367576,0.7040635296105432,0.17656500802568217,19,833305.49,17047492.53,1.0767197140959295,0.33292658374301604,2023-06
2023-07-01,635,0.9228346456692913,0.8393700787401575,0.7984251968503937,0.6692913385826772,0.7153105861767278,0.22362204724409449,18,1050080.94,18696673.55,0.989165736225163,0.6223117524635767,2023-07
2023-08-01,651,0.9231950844854071,0.901689708141321,0.8402457757296466,0.7542242703533026,0.7690431011114124,0.3317972350230415,17,834459.67,16780927.57,1.1829372011119341,0.6931629062432699,2023-08
2023-09-01,694,0.9149855907780979,0.8890489913544669,0.8242074927953891,0.770893371757925,0.7835914985590777,0.37319884726224783,16,897921.3,14728303.33,1.0251666355670592,0.5854558857218334,2023-09
2023-10-01,700,0.9157142857142857,0.9214285714285714,0.8871428571428571,0.7271428571428571,0.7997142857142857,0.4542857142857143,15,1018047.43,15390394.98,1.0078374560603722,0.6486085230822694,2023-10
2023-11-01,702,0.9316239316239316,0.9173789173789174,0.8404558404558404,0.7122507122507122,0.8045380545380546,0.5455840455840456,14,1324364.22,19417905.59,1.0472898885992037,0.8422073951831771,2023-11
2023-12-01,754,0.9310344827586207,0.9270557029177718,0.8488063660477454,0.6657824933687002,0.8058559477657621,0.5742705570291777,13,1891350.01,21889618.95,0.8902724685568337,0.7194955945779703,2023-12
2024-01-01,753,0.9282868525896414,0.9415670650730412,0.8791500664010624,0.6533864541832669,0.843625498007968,0.6533864541832669,12,1010900.05,17818756.11,1.4688854179995339,1.2571222743534338,2024-01
2024-02-01,720,0.9333333333333333,0.9583333333333334,0.8597222222222223,,0.8428030303030302,0.65,11,1339001.08,20830647.18,1.4142596495753523,1.2392618458530293,2024-02
2024-03-01,759,0.9380764163372859,0.9696969696969697,0.852437417654809,,0.8571805006587615,0.6693017127799736,10,1491456.38,20200073.5,1.3543858051014541,1.0765348497821976,2024-03
2024-04-01,796,0.9560301507537688,0.9623115577889447,0.8329145728643216,,0.8585985482970409,0.6721105527638191,9,1944293.5,22654050.29,1.294617658747966,1.0805375165837874,2024-04
2024-05-01,814,0.9312039312039312,0.957002457002457,0.8071253071253072,,0.8640970515970516,0.6916461916461917,8,2101572.5,18916511.82,1.125140330633371,0.972702402605668,2024-05
2024-06-01,800,0.95,0.96125,0.7925,,0.8875000000000001,0.7425,7,2467111.82,24416786.59,1.413844456389496,1.3801035090497036,2024-06
2024-07-01,840,0.9583333333333334,0.9642857142857143,0.7333333333333333,,0.8964285714285714,0.7333333333333333,6,2475474.33,20675909.33,1.3920503422603996,1.3093671829753937,2024-07
2024-08-01,844,0.9609004739336493,0.9454976303317536,,,0.9054502369668246,0.7760663507109005,5,3124515.62,23813965.839999996,1.5243300873624694,1.5048570696535675,2024-08
2024-09-01,903,0.9590254706533776,0.920265780730897,,,0.9219269102990033,0.8084163898117387,4,4720964.3,30687454.54,1.6250628362091195,1.7419737721803998,2024-09
2024-10-01,894,0.9742729306487695,0.8769574944071589,,,0.9500372856077554,0.8769574944071589,3,5490106.84,26502467.509999998,1.609104539150766,1.826087772455809,2024-10
2024-11-01,887,0.9740698985343855,,,,0.9864712514092446,0.9988726042841037,2,9989544.62,30520826.200000003,1.5276385141167728,2.0552770282335455,2024-11
