customer_id,customer_revenue,customer_profit,customer_cost,transaction_count,customer_profit_margin,country,region,customer_segment,acquisition_channel,subscription_plan
CUST_000000,122960.01,106865.55,16094.46,16,0.8691081759020677,Germany,Europe,Core,Outbound Sales,Enterprise
CUST_000001,2847.75,2148.67,855.51,18,0.7545149679571592,India,APAC,New / Onboarding,Organic Search,Professional
CUST_000002,1160.09,788.05,435.29,16,0.6793007439078003,UK,Europe,Core,Content Marketing,Basic
CUST_000003,4090.32,3214.71,1062.53,16,0.7859311740890688,USA,North America,Core,Outbound Sales,Professional
CUST_000004,2467.93,1915.44,552.49,12,0.7761322241716743,USA,North America,Low Engagement,Content Marketing,Professional
CUST_000005,8887.12,7667.16,1219.96,17,0.8627271827093591,Australia,APAC,Core,Paid Search,Professional
CUST_000006,210761.84,179178.83000000002,39350.13,19,0.8501483475376758,Canada,North America,Strategic,Paid Search,Enterprise
CUST_000007,1364.23,929.1,435.13,20,0.6810435190547048,UK,Europe,At Risk,Paid Social,Basic
CUST_000008,177676.73,156331.91,40298.15,22,0.8798671047131496,USA,North America,Champion,Paid Search,Enterprise
CUST_000009,865.79,575.07,290.71999999999997,14,0.6642141858880329,India,APAC,Low Engagement,Paid Social,Basic
CUST_000010,757.6899999999999,416.84000000000003,340.85,15,0.5501458380076285,Germany,Europe,Low Engagement,Organic Search,Basic
CUST_000011,476.69,300.93,175.76,10,0.6312907759760011,USA,North America,New / Onboarding,Outbound Sales,Basic
CUST_000012,2253.98,1769.39,484.59000000000003,13,0.7850069654566589,USA,North America,New / Onboarding,Organic Search,Professional
CUST_000013,3197.71,2393.41,922.52,21,0.7484762533187812,UK,Europe,Core,Referral,Professional
CUST_000014,1976.84,1473.76,503.08,18,0.7455130410149532,UK,Europe,Core,Content Marketing,Professional
CUST_000015,89900.04,74651.28,15248.76,16,0.830380943100804,USA,North America,Core,Outbound Sales,Enterprise
CUST_000016,2291.41,1789.28,666.91,11,0.7808641840613422,Australia,APAC,Low Engagement,Outbound Sales,Basic
CUST_000017,187863.97,156441.67,40776.43,12,0.8327390824328902,USA,North America,Strategic,Referral,Enterprise
CUST_000018,2524.82,1874.48,777.72,13,0.7424212419103143,UK,Europe,Low Engagement,Paid Social,Professional
CUST_000019,965.65,621.42,386.39,17,0.6435250867291461,USA,North America,Core,Paid Social,Basic
CUST_000020,461.36,164.41000000000003,296.95,13,0.35635945899080984,USA,North America,Low Engagement,Organic Search,Basic
CUST_000021,480.51,232.63,247.88,15,0.48413144367442923,UK,Europe,Low Engagement,Organic Search,Basic
CUST_000022,2858.0,2196.64,661.36,19,0.768593421973408,USA,North America,Core,Outbound Sales,Professional
CUST_000023,5745.12,4699.41,1274.81,20,0.8179829141950038,USA,North America,Core,Paid Social,Professional
CUST_000024,12277.15,10101.8,2737.94,20,0.8228131121636536,UK,Europe,Champion,Organic Search,Business
CUST_000025,6076.31,4805.5,1625.4399999999998,22,0.7908582675999084,Other,LATAM,Core,Partnership,Professional
CUST_000026,673.48,354.95,318.53,13,0.5270386648452812,Australia,APAC,Low Engagement,Partnership,Basic
CUST_000027,926.3,592.82,333.48,15,0.6399870452337256,USA,North America,Low Engagement,Paid Search,Basic
CUST_000028,1344.75,852.2,492.55,20,0.6337237404722068,USA,North America,Core,Paid Social,Basic
CUST_000029,2414.68,1749.04,665.64,23,0.7243361439196913,USA,North America,Core,Referral,Professional
CUST_000030,7101.87,5612.96,1488.91,15,0.7903495839828102,USA,North America,Core,Referral,Professional
CUST_000031,666.61,334.22,332.39,15,0.5013726166724172,USA,North America,Low Engagement,Referral,Basic
CUST_000032,21166.25,17902.97,3263.2799999999997,15,0.8458262564223705,USA,North America,Core,Paid Search,Business
CUST_000033,2281.0,1583.8899999999999,697.11,22,0.6943840420868039,UK,Europe,Core,Organic Search,Basic
CUST_000034,861.33,544.91,316.41999999999996,15,0.6326378972054845,Australia,APAC,New / Onboarding,Organic Search,Basic
CUST_000035,7277.02,6046.12,1670.07,13,0.8308510901440425,Canada,North America,Core,Paid Social,Professional
CUST_000036,10897.74,9037.18,1860.56,16,0.8292710231662712,Other,MEA,Core,Paid Search,Business
CUST_000037,627.36,284.91,374.99,15,0.4541411629686305,USA,North America,Low Engagement,Content Marketing,Basic
CUST_000038,28169.35,23035.63,5133.72,18,0.8177551132702743,Other,MEA,Core,Referral,Business
CUST_000039,802.23,534.09,268.14,14,0.6657567031898582,UK,Europe,Low Engagement,Referral,Basic
CUST_000040,2749.48,2085.39,886.4300000000001,20,0.7584670555886931,USA,North America,Core,Paid Social,Professional
CUST_000041,8182.55,6795.1,1387.45,16,0.8304379441616612,Other,MEA,Core,Paid Search,Professional
CUST_000042,34178.73,28335.11,5843.62,20,0.8290275852847663,UK,Europe,Champion,Organic Search,Business
CUST_000043,749.3,436.35,312.95,13,0.5823435206192447,USA,North America,New / Onboarding,Organic Search,Basic
CUST_000044,2229.88,1716.99,512.89,13,0.7699921071985936,USA,North America,Low Engagement,Referral,Professional
CUST_000045,2332.64,1825.3700000000001,507.27,13,0.7825339529460184,USA,North America,Low Engagement,Outbound Sales,Basic
CUST_000046,3140.65,2474.9700000000003,665.6800000000001,20,0.7880438762676517,Other,MEA,Core,Outbound Sales,Professional
CUST_000047,1190.61,768.41,422.2,18,0.6453918579551658,USA,North America,Core,Partnership,Basic
CUST_000048,8759.69,7394.82,1364.8700000000001,13,0.8441874084585185,Other,LATAM,Core,Outbound Sales,Business
CUST_000049,164992.88,136817.64,28175.239999999998,15,0.8292336008681103,USA,North America,Strategic,Content Marketing,Enterprise
CUST_000050,1145.22,681.75,510.02,23,0.5953004662859538,USA,North America,New / Onboarding,Content Marketing,Basic
CUST_000051,5695.58,4525.13,1170.45,15,0.7944985409738781,USA,North America,Core,Referral,Professional
CUST_000052,6950.13,5607.06,1343.07,17,0.8067561326191022,USA,North America,Core,Paid Search,Professional
CUST_000053,2052.03,1481.83,648.61,20,0.7221288187794525,USA,North America,Core,Organic Search,Basic
CUST_000054,16881.2,13895.15,2986.05,18,0.8231138781603203,Australia,APAC,Champion,Content Marketing,Professional
CUST_000055,274791.36,227445.18,47346.18,16,0.8277013513088621,USA,North America,Strategic,Paid Search,Enterprise
CUST_000056,921.65,549.65,372.0,22,0.5963760646666305,Germany,Europe,Core,Organic Search,Basic
CUST_000057,7800.84,6402.7300000000005,1398.11,21,0.8207744294204214,Germany,Europe,Champion,Paid Social,Business
CUST_000058,255453.08000000002,213786.45,53249.39,17,0.8368912600310006,USA,North America,Strategic,Partnership,Enterprise
CUST_000059,5642.87,4621.62,1021.25,18,0.8190193997026336,Germany,Europe,Core,Outbound Sales,Professional
CUST_000060,6307.34,5282.82,1024.52,18,0.8375670250850595,India,APAC,Core,Paid Social,Professional
CUST_000061,659.95,431.81,228.14,12,0.6543071444806424,Canada,North America,Low Engagement,Paid Search,Basic
CUST_000062,10442.16,8707.19,1734.97,18,0.8338495100630522,USA,North America,Champion,Outbound Sales,Professional
CUST_000063,30305.45,25623.26,4682.1900000000005,17,0.8455000668196644,UK,Europe,Core,Referral,Business
CUST_000064,35551.63,27789.96,11592.3,13,0.7816789272390605,Germany,Europe,Strategic,Organic Search,Business
CUST_000065,5345.3,4245.23,1443.74,17,0.7941986417974668,USA,North America,Core,Outbound Sales,Professional
CUST_000066,719.6,372.79,346.81,17,0.5180516953863258,USA,North America,Low Engagement,Referral,Basic
CUST_000067,9009.7,7523.14,1927.04,14,0.8350044951552216,USA,North America,Core,Organic Search,Business
CUST_000068,3602.77,2841.57,761.2,16,0.7887181252203166,USA,North America,Core,Organic Search,Professional
CUST_000069,2459.35,1906.87,552.48,19,0.7753552768007806,USA,North America,Core,Organic Search,Basic
