customer_id,activity_month,monthly_net_revenue,monthly_transactions,cohort_month,cohort_index
CUST_000000,2023-08-01,4856.78,1,2023-07-01,2
CUST_000000,2023-09-01,5394.19,1,2023-07-01,3
CUST_000000,2023-10-01,5457.91,1,2023-07-01,4
CUST_000000,2023-11-01,6221.82,1,2023-07-01,5
CUST_000000,2024-01-01,4732.43,1,2023-07-01,7
CUST_000000,2024-02-01,35267.29,1,2023-07-01,8
CUST_000000,2024-03-01,5514.49,1,2023-07-01,9
CUST_000000,2024-04-01,5719.5,1,2023-07-01,10
CUST_000000,2024-05-01,5821.33,1,2023-07-01,11
CUST_000000,2024-06-01,7795.79,1,2023-07-01,12
CUST_000000,2024-07-01,7253.92,1,2023-07-01,13
CUST_000000,2024-08-01,6154.81,1,2023-07-01,14
CUST_000000,2024-09-01,6703.66,1,2023-07-01,15
CUST_000000,2024-10-01,6731.26,1,2023-07-01,16
CUST_000000,2024-11-01,9334.83,1,2023-07-01,17
CUST_000001,2024-10-01,328.34000000000003,2,2024-10-01,1
CUST_000001,2024-11-01,908.64,5,2024-10-01,2
CUST_000001,2024-12-01,1590.22,8,2024-10-01,3
CUST_000002,2024-05-01,63.53,1,2024-05-01,1
CUST_000002,2024-06-01,151.34,2,2024-05-01,2
CUST_000002,2024-07-01,63.63,1,2024-05-01,3
CUST_000002,2024-08-01,217.89,3,2024-05-01,4
CUST_000002,2024-09-01,157.87,2,2024-05-01,5
CUST_000002,2024-10-01,171.38,2,2024-05-01,6
CUST_000002,2024-11-01,155.47000000000003,2,2024-05-01,7
CUST_000002,2024-12-01,176.61,2,2024-05-01,8
CUST_000003,2024-02-01,500.99,2,2024-02-01,1
CUST_000003,2024-03-01,583.14,2,2024-02-01,2
CUST_000003,2024-04-01,1354.1399999999999,4,2024-02-01,3
CUST_000003,2024-05-01,862.62,3,2024-02-01,4
CUST_000003,2024-06-01,307.8,1,2024-02-01,5
CUST_000003,2024-07-01,425.68,1,2024-02-01,6
CUST_000004,2022-12-01,480.05,2,2022-11-01,2
CUST_000004,2023-01-01,392.13,2,2022-11-01,3
CUST_000004,2023-02-01,369.76,2,2022-11-01,4
CUST_000004,2023-03-01,273.7,1,2022-11-01,5
CUST_000004,2023-04-01,429.07,2,2022-11-01,6
CUST_000004,2023-05-01,523.22,2,2022-11-01,7
CUST_000005,2022-11-01,341.57,1,2022-11-01,1
CUST_000005,2023-01-01,2510.12,1,2022-11-01,3
CUST_000005,2023-03-01,329.23,1,2022-11-01,5
CUST_000005,2023-04-01,278.53,1,2022-11-01,6
CUST_000005,2023-05-01,341.96,1,2022-11-01,7
CUST_000005,2023-07-01,352.06,1,2022-11-01,9
CUST_000005,2023-08-01,364.15,1,2022-11-01,10
CUST_000005,2023-10-01,514.99,1,2022-11-01,12
CUST_000005,2023-11-01,440.11,1,2022-11-01,13
